Financial  Year,Payee_Name,Part_Postcode,Town,Parliamentary Constituency,County Council,Scheme,scheme detail,activity level,Amount
21/22,Alaina Livingston,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,23211
21/22,Alaina Livingston,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,4582
21/22,Alan Patrick,S72 , Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,5137
21/22,Alan Patrick,S72 , Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland,High,7440
21/22,Alan Patrick,S72 , Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,1772
21/22,Alan Patrick,S72 , Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,28102
21/22,Alan Patrick,S72 , Barnsley,   Barnsley East , None,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,N/a,29877
21/22,Alberto Mcneil,DY3 , Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,25362
21/22,Alberto Mcneil,DY3 , Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,High,33713
21/22,Alberto Mcneil,DY3 , Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,15281
21/22,Alberto Mcneil,DY3 , Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,18716
21/22,Alberto Mcneil,DY3 , Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,15499
21/22,Alberto Mcneil,DY3 , Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,19800
21/22,Alejandro Howell,DA1 , Dartford,   Dartford , Kent,Farming Equipment and Technology Fund,Horticulture,N/a,11885
21/22,Alejandro Howell,DA1 , Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,26980
21/22,Alejandro Howell,DA1 , Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Improved Grassland,High,12245
21/22,Alejandro Howell,DA1 , Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,8613
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,6017
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,26076
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,15709
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,25721
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,28778
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,8287
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Farming Equipment and Technology Fund,Horticulture,N/a,11417
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,11977
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,22333
21/22,Alexia White,CW11 , Sandbach , Congleton , None,Farming Equipment and Technology Fund,Forestry,N/a,13453
21/22,Allen Lopez,SN3 , Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,High,14033
21/22,Allen Lopez,SN3 , Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,18779
21/22,Allen Lopez,SN3 , Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,28329
21/22,Allen Lopez,SN3 , Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,9565
21/22,Allen Lopez,SN3 , Covingham , North Swindon , None,Farming Equipment and Technology Fund,Precision and Analysis,N/a,24175
21/22,Allen Lopez,SN3 , Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,15831
21/22,Allen Lopez,SN3 , Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,High,34650
21/22,Alyssa Orozco,EX17 , Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,25096
21/22,Alyssa Orozco,EX17 , Washford Pyne , Central Devon , Devon,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,N/a,14085
21/22,Alyssa Orozco,EX17 , Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,On farm woodland,Low,5850
21/22,Alyssa Orozco,EX17 , Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Hedgerow,High,8584
21/22,Alyssa Orozco,EX17 , Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,17327
21/22,Amya Henry,PE28 , Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,34473
21/22,Amya Henry,PE28 , Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,25504
21/22,Amya Henry,PE28 , Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,4339
21/22,Amya Henry,PE28 , Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,28089
21/22,Amya Henry,PE28 , Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,15376
21/22,Amya Henry,PE28 , Somersham , North West Cambridgeshire , Cambridgeshire,Farming Equipment and Technology Fund,Other Livestock equipment,N/a,3960
21/22,Amya Henry,PE28 , Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,31716
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,High,14492
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Low,4365
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,10337
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,27060
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,26853
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,8170
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Low,35397
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,Low,35207
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Farming Equipment and Technology Fund,Horticulture,N/a,18442
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,34010
21/22,Andreas Jenkins,L37 , Formby , Sefton Central , None,Farming Equipment and Technology Fund,Forestry,N/a,33399
21/22,Arabella Austin,DE22 , Derby,   Derby North , None,Farming Equipment and Technology Fund,Precision and Analysis,N/a,11311
21/22,Arabella Austin,DE22 , Derby,   Derby North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,21041
21/22,Arabella Austin,DE22 , Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,Low,27309
21/22,Arabella Austin,DE22 , Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,11406
21/22,Arabella Austin,DE22 , Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,6492
21/22,Arabella Austin,DE22 , Derby,   Derby North , None,Farming Equipment and Technology Fund,Precision and Analysis,N/a,18475
21/22,Arabella Austin,DE22 , Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,23128
21/22,Araceli Ayers,SL2 , Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,15997
21/22,Araceli Ayers,SL2 , Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,3732
21/22,Aryana Glass,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,35194
21/22,Aryana Glass,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,18967
21/22,Aryana Glass,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,10489
21/22,Aryana Glass,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,Medium,13418
21/22,Aryana Glass,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,10556
21/22,Aryana Glass,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,Medium,2733
21/22,August Dennis,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,20740
21/22,August Dennis,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,High,33641
21/22,August Dennis,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,35419
21/22,August Dennis,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,12482
21/22,August Dennis,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,10774
21/22,August Dennis,WD6 , Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,30966
21/22,August Dennis,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,4490
21/22,August Dennis,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,5029
21/22,August Dennis,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,1868
21/22,Axel Ross,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,23795
21/22,Axel Ross,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,22080
21/22,Axel Ross,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,N/a,28284
21/22,Axel Ross,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Farming Equipment and Technology Fund,Other Livestock equipment,N/a,14632
21/22,Axel Ross,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,30937
21/22,Ayaan Wong,GU31, Harting , Chichester , West Sussex,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,N/a,6095
21/22,Ayaan Wong,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,High,23892
21/22,Ayaan Wong,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,32660
21/22,Ayaan Wong,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,Low,33974
21/22,Azaria Mccoy,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland,Low,22410
21/22,Azaria Mccoy,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,20646
21/22,Baylee Payne,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,13553
21/22,Baylee Payne,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,35729
21/22,Baylee Payne,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,22201
21/22,Baylee Payne,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,2498
21/22,Baylee Payne,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,7885
21/22,Baylee Payne,EC1R , Islington,   Islington South and Finsbury , None,Farming Equipment and Technology Fund,Resource Management,N/a,10313
21/22,Baylee Payne,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,5457
21/22,Braden Gill,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,4197
21/22,Braden Gill,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,19172
21/22,Braden Gill,S72, Barnsley,   Barnsley East , None,Farming Equipment and Technology Fund,Resource Management,N/a,16944
21/22,Braden Gill,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,14948
21/22,Braden Gill,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,24131
21/22,Braiden Howell,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,23300
21/22,Brayan Calderon,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,17321
21/22,Brayan Calderon,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,27756
21/22,Brayan Calderon,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,22644
21/22,Brayan Calderon,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,17320
21/22,Brayan Calderon,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,18170
21/22,Bria Cabrera,DA1, Dartford,   Dartford , Kent,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,N/a,17327
21/22,Bria Cabrera,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,5582
21/22,Bria Cabrera,DA1, Dartford,   Dartford , Kent,Farming Equipment and Technology Fund,General,N/a,16934
21/22,Bria Cabrera,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,22906
21/22,Bria Cabrera,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,2826
21/22,Brian Ferrell,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,14230
21/22,Brian Ferrell,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,10328
21/22,Brian Ferrell,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,31344
21/22,Brian Ferrell,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,High,7393
21/22,Brian Ferrell,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,14927
21/22,Bridget Franklin,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,7948
21/22,Bridget Franklin,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,11569
21/22,Bridget Franklin,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,32757
21/22,Bridget Franklin,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,High,23103
21/22,Bridget Franklin,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,High,18183
21/22,Bridget Franklin,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,Low,5690
21/22,Casey Bryan,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,21235
21/22,Casey Bryan,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,High,32212
21/22,Casey Bryan,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,15496
21/22,Casey Bryan,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Hedgerow,High,22166
21/22,Casey Greene,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,Low,29564
21/22,Casey Greene,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Hedgerow,Medium,19894
21/22,Casey Greene,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,34673
21/22,Casey Greene,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland soils,High,29685
21/22,Casey Greene,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,11084
21/22,Chandler Christian,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland,Medium,24750
21/22,Chandler Christian,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,7008
21/22,Chandler Christian,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,26755
21/22,Charity Booker,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,16824
21/22,Charity Booker,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,9873
21/22,Charity Booker,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,14084
21/22,Charity Booker,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland,Medium,1269
21/22,Charity Booker,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,33249
21/22,Charity Booker,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,11306
21/22,Charity Booker,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,4973
21/22,Charity Booker,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,10530
21/22,Charity Booker,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,31391
21/22,Charity Booker,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,25113
21/22,Christine Ray,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,High,27883
21/22,Christine Ray,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,21823
21/22,Christine Ray,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,19045
21/22,Christine Ray,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,25576
21/22,Christine Ray,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,23523
21/22,Christine Ray,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,20115
21/22,Christine Ray,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland,High,20691
21/22,Clay Wyatt,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland,High,11602
21/22,Clay Wyatt,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Hedgerow,Low,31217
21/22,Cynthia Odom,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,12702
21/22,Cynthia Odom,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,13633
21/22,Cynthia Odom,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,17048
21/22,Cynthia Odom,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,Low,24384
21/22,Cynthia Odom,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,6906
21/22,Cynthia Odom,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,22609
21/22,Cynthia Odom,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,18337
21/22,Cynthia Odom,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,24947
21/22,Dale Valenzuela,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,27934
21/22,Dale Valenzuela,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,High,11307
21/22,Dale Valenzuela,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,34723
21/22,Dale Valenzuela,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,19365
21/22,Dale Valenzuela,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,2878
21/22,Dale Valenzuela,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,5665
21/22,Dale Valenzuela,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,12552
21/22,Dale Valenzuela,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,4249
21/22,Daniel Ferrell,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,26575
21/22,Daniel Ferrell,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,High,34827
21/22,Daniel Ferrell,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,27440
21/22,Daniel Ferrell,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,10346
21/22,Daniel Ferrell,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,28045
21/22,Daniel Ferrell,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Improved Grassland,Medium,33086
21/22,Daniel Ferrell,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,30957
21/22,Daniel Ferrell,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,20133
21/22,Daniel Ferrell,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,21281
21/22,Darwin Chang,GU31, Harting , Chichester , West Sussex,Farming Equipment and Technology Fund,,N/a,26494
21/22,Darwin Chang,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,High,29536
21/22,Darwin Chang,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Low,21156
21/22,Darwin Chang,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Medium,11703
21/22,Darwin Chang,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,23611
21/22,Darwin Chang,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,1923
21/22,Declan Craig,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,Low,7114
21/22,Declan Craig,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,25048
21/22,Declan Craig,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,7220
21/22,Denise Underwood,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,High,28154
